StudyTime,Attendance,PreviousScore,FinalScore
4.9,82.7,91.1,72.3
7.0,87.2,70.2,62.2
5.7,66.4,72.7,66.0
3.7,76.7,78.3,59.3
5.7,89.9,54.8,58.6
8.1,69.5,90.4,69.4
4.9,84.9,72.4,67.2
8.1,68.4,89.6,67.3
1.0,86.7,61.2,47.4
6.6,81.6,91.8,70.8
5.2,65.8,79.3,53.4
4.4,93.6,76.6,75.4
5.2,74.7,72.8,57.6
1.0,73.9,67.0,52.5
4.6,84.0,84.4,66.8
5.7,93.5,71.7,63.0
8.0,71.8,46.4,58.2
4.0,82.6,56.6,59.4
3.4,86.3,67.8,57.8
4.0,88.9,73.7,68.8
6.8,83.8,69.3,71.5
5.7,78.3,84.6,71.1
3.9,73.7,46.6,46.8
6.0,82.9,71.7,59.5
5.2,71.3,48.2,48.8
6.9,52.8,79.1,59.8
3.6,86.4,68.9,62.3
4.3,91.0,75.0,53.8
4.2,58.4,59.6,48.4
2.1,71.9,85.4,56.6
5.6,88.2,82.5,67.7
5.5,100.0,77.0,77.8
5.0,82.2,68.4,63.4
4.5,74.7,77.0,66.6
2.2,80.2,61.5,50.7
4.2,95.7,80.3,72.4
4.3,75.5,89.8,71.9
3.4,74.0,82.8,65.5
4.7,77.2,61.2,51.2
5.8,72.5,74.3,60.3
8.8,83.2,54.5,64.9
5.3,98.2,76.9,72.6
5.5,85.2,75.4,69.1
4.9,79.5,47.6,49.7
1.2,79.1,56.1,47.7
4.9,66.4,66.6,44.9
5.1,90.8,66.4,71.1
9.9,81.2,55.5,66.3
4.6,80.2,74.7,61.8
5.6,100.0,73.0,68.8
4.9,85.0,67.7,67.6
2.7,74.5,60.9,36.6
7.3,77.7,82.6,69.4
6.5,93.5,89.9,74.8
6.6,83.1,64.2,61.9
3.2,67.6,62.7,58.8
7.8,91.2,75.9,69.0
2.2,75.3,65.7,55.2
6.2,100.0,68.3,72.2
9.4,92.8,78.9,85.0
3.0,77.5,47.1,45.1
3.9,94.8,85.8,64.6
5.2,82.7,70.9,68.2
4.0,90.5,65.1,62.9
1.9,86.8,68.9,47.9
5.1,73.5,69.5,56.1
2.9,75.6,49.2,50.1
5.9,92.3,87.9,77.0
3.2,78.7,70.5,53.0
8.1,78.0,75.3,54.8
3.4,72.4,81.4,60.5
4.4,86.2,57.7,51.9
6.6,100.0,75.7,63.5
2.5,71.3,66.8,36.8
5.5,82.2,80.2,70.1
7.6,96.1,44.5,65.9
1.8,81.2,68.8,52.3
5.4,86.5,62.8,69.0
5.5,71.4,75.2,63.9
6.6,86.3,75.6,76.8
2.5,80.1,61.5,45.5
2.4,91.9,61.5,56.2
6.0,93.9,68.7,59.8
5.6,100.0,59.2,65.1
5.5,87.8,80.1,66.7
5.7,85.3,65.6,66.3
3.6,83.9,35.1,48.8
5.5,78.5,65.5,63.4
5.6,85.4,57.5,64.1
3.6,79.0,50.4,62.2
8.7,83.7,55.2,65.2
5.9,95.2,71.3,64.2
2.6,71.9,85.9,58.4
6.3,93.4,73.8,65.9
3.1,95.2,62.7,67.0
6.6,80.8,75.5,65.4
7.3,60.8,64.5,55.3
3.4,75.9,61.7,50.9
6.9,95.0,56.1,70.2
5.8,81.8,49.0,56.5
6.6,72.0,65.3,57.4
8.8,77.0,71.9,78.0
4.5,90.4,68.8,58.8
3.5,87.5,65.0,58.7
3.2,79.6,58.7,56.4
3.4,78.3,77.3,50.6
4.8,78.1,54.2,57.5
5.7,72.8,79.3,57.7
5.6,98.2,58.0,69.3
6.7,78.8,61.0,57.1
5.0,94.2,52.4,64.2
7.9,97.2,64.0,77.7
4.5,92.0,81.7,71.8
10.0,77.7,76.2,75.3
6.3,86.0,81.7,68.6
3.3,81.8,76.3,56.6
2.9,73.0,56.8,56.9
6.0,85.2,66.0,60.5
4.6,70.2,60.6,48.6
6.4,93.9,86.0,77.4
5.9,77.4,55.6,53.9
4.9,84.0,80.7,60.6
3.3,84.8,80.7,54.6
2.0,79.4,92.0,57.8
4.1,87.9,65.1,59.7
6.7,77.3,78.5,67.9
5.4,90.7,97.4,78.7
2.5,68.5,62.6,51.4
5.3,83.3,51.6,56.4
5.8,100.0,47.4,62.1
3.2,72.0,78.6,59.0
5.3,75.2,47.4,59.6
5.1,87.1,65.5,63.0
2.7,83.8,75.2,56.0
5.7,85.5,72.2,60.3
6.1,86.9,75.1,60.4
7.2,88.3,72.7,73.3
7.1,93.1,85.3,78.1
2.2,86.1,58.6,55.9
3.1,79.6,61.9,53.2
6.0,88.7,60.7,70.7
6.0,100.0,80.0,71.0
6.0,80.7,80.8,71.7
10.0,72.3,75.4,71.7
6.1,93.1,84.2,69.4
7.3,80.8,55.9,65.5
6.9,60.3,90.0,66.7
6.3,90.5,88.3,75.1
4.4,76.6,78.8,61.4
6.5,81.1,91.4,71.2
3.5,85.3,50.1,65.2
4.5,83.9,63.7,65.2
4.0,89.1,61.2,62.8
5.2,77.6,78.7,63.8
9.6,87.1,57.4,75.8
1.3,79.4,79.1,57.2
6.4,89.4,86.4,72.7
1.8,88.2,78.3,57.2
4.1,72.6,73.4,56.9
7.2,92.9,58.1,51.4
5.1,76.6,59.8,58.0
2.8,90.1,85.0,61.3
3.6,85.7,79.4,70.4
6.4,100.0,69.5,71.3
3.5,79.8,65.0,49.9
5.4,78.5,45.7,53.9
5.1,81.8,57.1,52.8
3.7,79.0,92.9,66.8
9.3,90.0,54.6,71.7
6.3,65.8,72.3,64.6
1.0,71.5,82.1,48.1
5.4,71.3,54.9,54.6
3.7,91.5,72.2,55.7
6.7,99.1,81.3,78.7
3.4,81.0,70.1,60.1
4.8,80.3,100.0,72.1
6.0,82.7,50.0,58.4
6.7,93.6,82.7,75.7
2.6,72.7,67.9,60.1
4.3,84.4,79.3,62.2
4.1,91.8,75.3,65.3
3.7,87.0,61.2,52.3
8.5,83.9,72.7,67.2
5.8,92.0,47.7,60.9
2.5,55.0,77.2,53.9
6.8,88.8,73.6,68.2
9.2,75.5,77.7,70.6
7.1,63.7,82.7,62.1
2.0,87.1,74.4,54.9
4.0,95.7,71.8,66.1
7.5,80.6,59.4,56.5
3.6,91.5,61.5,65.5
5.9,98.1,84.2,70.4
6.5,95.1,87.2,78.7
3.1,98.4,67.1,55.7
4.9,89.4,70.6,67.6
1.0,82.8,59.1,52.5
3.0,66.0,84.1,57.5
4.5,79.5,78.0,57.1
2.5,73.6,93.3,61.0
8.3,100.0,59.5,66.9
2.1,80.2,65.5,51.5
4.1,83.2,72.8,65.9
5.3,87.5,77.8,70.7
7.9,82.4,67.4,68.1
2.1,99.0,59.5,52.7
7.3,75.8,80.6,71.5
5.0,83.9,78.7,65.1
3.0,74.6,59.0,39.4
5.9,68.8,86.3,68.0
5.4,75.9,84.0,64.6
3.8,81.6,71.6,65.2
5.1,77.7,71.0,55.3
4.2,75.1,76.6,43.5
5.2,67.9,59.7,55.6
6.3,81.2,70.4,66.1
8.2,67.0,44.2,47.9
2.5,89.6,80.5,56.6
9.3,82.8,51.3,80.5
1.1,67.4,88.0,51.1
4.7,78.9,66.0,62.3
6.2,74.5,67.5,58.0
5.6,85.2,62.5,51.6
3.8,95.4,66.5,61.6
4.6,63.2,87.0,57.9
4.0,83.2,40.1,48.8
3.8,80.4,85.3,62.3
6.7,88.7,74.1,70.7
5.7,84.1,55.5,59.0
3.6,74.5,57.1,45.5
6.8,78.8,90.1,73.4
5.6,74.0,58.7,47.2
6.6,92.8,56.2,54.9
6.3,82.2,83.6,72.7
3.3,100.0,74.1,67.7
3.9,81.4,58.7,55.2
6.5,74.9,72.6,56.6
6.2,66.9,57.7,52.1
5.0,64.0,83.2,58.0
5.2,66.2,82.7,52.5
7.6,84.7,76.4,67.1
3.8,87.1,74.3,65.2
6.1,66.2,91.1,72.3
4.6,91.0,70.0,61.8
4.6,77.2,55.8,58.6
7.2,83.5,75.4,59.6
6.7,98.1,95.0,82.2
6.6,91.0,57.8,61.0
7.6,79.3,65.7,67.2
5.0,73.1,75.0,58.8
6.4,60.5,69.4,64.0
4.4,74.8,58.2,49.8
5.6,79.9,83.5,69.6
4.7,72.1,97.8,64.5
5.2,80.7,72.4,61.7
6.2,82.8,59.2,60.7
3.4,79.8,51.4,47.3
9.2,75.5,73.1,70.4
3.0,83.7,83.2,61.1
2.6,86.4,75.7,60.4
7.3,71.1,70.0,63.8
6.6,96.1,62.9,72.3
6.2,81.0,56.9,64.9
6.3,82.2,80.0,62.6
5.0,89.1,81.0,71.8
3.2,84.3,51.5,46.7
5.2,91.5,89.1,74.2
3.6,84.9,76.9,64.5
7.0,75.9,86.8,59.8
4.7,85.6,53.9,57.9
3.3,70.6,53.6,46.4
4.4,83.1,68.2,56.3
5.8,81.7,76.0,72.1
3.9,79.9,91.6,61.5
3.4,80.7,78.5,55.9
5.5,63.2,67.1,55.8
5.5,76.5,57.7,60.7
4.0,82.9,84.8,63.3
4.1,83.6,58.4,62.5
5.5,71.7,89.5,67.8
2.1,94.7,66.6,47.3
2.2,73.3,89.1,55.0
3.6,91.7,78.1,61.4
4.6,86.3,68.4,64.2
5.6,75.5,63.8,45.9
8.0,99.8,65.9,86.6
6.7,70.1,75.1,65.8
4.7,91.2,70.9,65.2
5.0,92.0,62.9,69.0
3.0,75.3,68.0,65.7
5.0,95.9,70.9,71.2
4.4,79.5,44.5,56.5
5.6,84.9,75.5,66.5
3.3,84.6,58.2,54.3
6.0,80.7,56.2,57.1
8.1,90.1,49.8,61.8
4.8,89.9,48.5,54.1
5.8,64.5,53.7,45.9
6.4,95.0,61.5,66.7
4.2,65.4,93.4,52.6
5.4,92.3,63.7,65.3
5.0,93.3,72.1,66.1
5.2,71.1,74.8,60.5
3.5,77.9,71.6,54.5
5.0,70.9,69.1,72.9
6.0,79.9,55.7,65.9
7.9,78.9,87.4,66.6
6.9,89.8,91.7,76.7
9.3,95.1,49.8,67.5
3.5,96.0,57.7,54.2
6.7,76.4,66.6,56.1
5.4,79.9,58.4,60.6
9.4,65.2,76.1,64.8
3.4,73.9,61.3,57.3
3.3,91.6,96.0,73.7
3.8,98.2,84.3,75.6
1.0,69.7,72.6,44.3
3.9,76.1,82.3,63.1
3.5,81.7,83.3,65.1
5.3,84.8,63.2,59.0
5.7,73.9,60.2,53.7
8.8,86.2,70.9,80.6
6.9,77.3,80.3,68.8
3.8,81.9,71.7,62.5
3.2,87.5,51.1,49.5
6.0,82.1,60.4,55.2
2.4,77.6,69.1,50.8
8.7,80.9,69.1,69.3
7.4,81.1,93.7,68.9
4.1,78.3,53.4,53.2
1.6,79.4,76.1,46.0
7.7,98.0,87.9,73.5
4.8,87.6,97.3,74.7
7.5,79.0,65.1,68.2
1.8,89.0,75.9,56.3
3.8,78.7,76.8,54.6
5.0,93.7,72.3,61.3
5.1,85.7,68.8,61.0
4.1,80.9,75.2,63.9
6.2,86.5,39.6,61.7
2.9,66.3,78.2,51.1
4.7,70.7,71.5,51.7
5.2,70.1,67.3,58.5
6.0,83.4,94.6,67.9
6.4,99.3,61.9,66.1
2.8,100.0,65.2,67.9
1.9,88.4,93.9,67.8
7.6,87.0,60.0,67.5
5.7,64.0,63.4,48.7
3.5,76.6,68.2,56.7
8.1,74.1,80.1,74.7
5.2,75.8,72.5,58.9
7.4,80.3,54.5,69.0
5.1,77.3,63.6,64.8
9.1,62.2,62.7,70.7
8.5,89.5,69.1,74.0
4.5,71.3,75.1,61.2
6.9,84.4,75.0,75.7
6.3,100.0,48.7,67.0
7.7,72.8,82.8,66.3
3.1,56.7,73.0,46.9
6.4,79.1,86.6,70.2
7.1,93.0,75.3,65.7
1.5,100.0,83.2,62.8
2.6,69.7,75.6,58.8
1.0,87.0,86.2,47.8
4.5,77.3,76.3,68.4
6.4,80.9,68.8,69.9
8.0,100.0,97.3,81.1
5.1,67.0,80.7,62.6
8.3,84.5,76.9,72.6
2.2,86.7,54.7,58.2
1.6,92.9,54.5,57.6
4.9,83.0,73.5,55.9
5.8,85.1,71.7,68.2
4.9,78.1,62.6,56.8
1.0,84.7,71.7,54.0
4.8,78.6,89.1,62.1
2.4,88.2,78.3,68.9
6.3,78.3,56.3,64.6
5.7,85.8,68.7,60.6
3.1,81.7,60.3,47.5
4.0,93.3,65.3,59.9
2.9,81.5,65.0,57.2
4.9,64.3,64.3,54.8
6.9,94.6,54.9,72.4
3.0,72.9,68.5,57.2
6.0,75.5,63.3,64.7
3.9,76.0,35.0,48.1
3.4,95.7,94.6,63.1
4.8,60.6,83.1,56.7
2.9,100.0,65.5,66.9
3.9,92.6,70.2,62.6
2.6,84.2,55.9,55.0
8.9,81.5,90.3,75.4
5.1,84.9,92.8,64.6
3.6,87.2,71.9,60.1
5.4,88.5,82.3,70.2
4.8,87.6,72.1,60.5
4.6,82.9,54.0,55.1
6.2,80.0,65.1,57.7
6.5,80.5,71.6,70.9
3.9,80.1,64.5,55.3
3.8,93.3,67.4,69.3
4.4,87.9,68.9,69.6
1.0,52.6,69.0,41.1
2.0,88.6,70.6,51.9
7.7,83.9,57.3,54.6
8.3,81.8,61.4,59.6
4.5,78.1,54.6,47.6
6.2,93.2,81.7,78.9
5.6,91.5,44.7,59.5
10.0,74.3,83.8,77.1
7.2,86.1,86.6,62.3
4.7,72.3,66.4,50.5
3.1,68.2,38.8,47.4
1.8,75.7,65.7,52.0
5.4,90.6,69.2,64.7
3.5,91.5,57.9,60.6
2.2,87.1,63.8,63.1
3.7,89.3,88.4,65.5
2.8,87.2,78.0,61.0
8.4,75.6,58.9,65.3
6.8,86.3,50.8,73.7
5.0,90.0,66.1,52.8
8.0,89.5,67.4,74.2
5.2,93.9,76.0,67.6
3.3,89.1,63.6,61.0
8.0,85.5,76.1,68.7
6.1,92.7,93.2,74.8
2.9,81.7,79.8,63.1
4.6,73.2,69.4,73.0
3.2,80.4,67.8,60.2
2.2,74.6,65.7,46.9
6.9,75.2,84.2,66.0
8.8,80.6,62.5,65.8
2.2,74.1,70.5,43.4
6.1,78.9,70.6,61.8
3.7,63.1,64.0,53.8
4.0,84.1,53.5,48.7
3.8,82.0,73.9,65.2
3.3,73.8,69.3,57.0
5.1,88.6,76.0,62.4
3.3,91.4,63.6,58.3
5.5,65.9,84.6,69.6
4.9,74.4,59.5,59.3
4.5,74.3,90.5,64.0
3.2,72.6,49.0,46.6
3.8,90.3,75.2,63.7
6.5,80.1,75.7,63.8
6.0,79.4,60.5,49.8
3.0,62.0,75.1,61.6
5.2,88.4,85.4,69.8
6.5,69.6,43.4,55.0
1.7,82.6,76.0,55.5
6.1,84.8,40.1,52.7
3.7,95.6,58.4,58.9
6.1,68.9,89.5,57.6
3.5,51.8,63.0,56.8
1.4,83.8,55.9,43.3
1.7,100.0,67.6,54.2
5.1,94.4,94.8,71.5
5.5,84.1,48.0,63.5
3.2,77.1,57.4,52.0
6.3,90.1,88.0,66.9
1.7,72.3,92.3,63.3
4.9,86.8,68.8,66.4
2.6,87.1,55.1,55.9
3.7,92.6,95.2,73.4
5.1,100.0,89.1,85.9
3.3,85.9,78.1,72.3
4.2,76.9,60.3,51.7
7.0,81.7,69.4,74.3
3.8,64.3,68.1,54.0
6.7,75.1,74.0,67.1
2.7,77.9,87.4,51.5
6.1,76.8,80.6,64.8
7.9,83.5,57.1,61.3
1.0,73.8,86.5,58.3
3.4,93.2,73.8,68.3
6.2,82.0,78.2,56.7
4.6,81.9,87.6,65.9
5.7,78.7,56.7,63.8
3.8,83.6,69.6,58.3
5.2,90.3,63.6,66.8
4.7,73.3,51.2,54.1
7.3,75.4,74.2,67.9
5.5,79.0,100.0,69.5
5.7,68.5,47.9,45.9
4.2,73.8,69.6,51.2
4.0,77.2,77.7,63.5
4.1,90.7,71.5,63.1
5.8,84.6,68.6,63.4
4.2,83.9,54.4,53.6
5.6,90.5,72.8,65.4
9.2,80.6,60.9,73.8
6.7,85.9,43.7,57.6
4.3,81.0,84.3,57.3
7.4,84.7,81.5,75.6
4.2,76.2,70.6,56.9
1.0,57.6,72.7,44.5
3.0,80.7,82.9,68.4
1.3,96.2,72.7,58.5
4.3,91.3,80.8,68.0
5.0,91.7,66.4,58.1
8.4,94.4,85.7,77.8
5.7,82.9,73.8,67.9
4.6,84.0,72.3,54.4
6.7,75.8,54.8,60.1
1.0,78.8,73.4,52.5
5.5,88.2,60.0,62.3
6.5,94.0,62.3,72.4
2.0,80.6,60.2,52.7
7.3,77.5,57.2,69.2
5.7,82.0,95.5,66.1
4.2,88.0,86.0,67.4
6.3,67.6,93.0,67.1
9.5,59.0,55.3,54.7
5.4,76.5,70.9,65.8
5.5,69.8,54.5,65.6
4.1,76.9,61.7,55.2
3.3,80.5,59.0,56.3
6.7,77.5,84.9,69.1
3.3,96.5,65.2,57.7
5.1,85.3,82.8,57.8
4.0,85.0,77.2,59.0
6.0,88.2,97.6,67.6
5.7,70.6,52.2,62.6
7.1,92.4,85.1,74.3
4.0,81.2,83.8,61.4
4.5,88.7,58.3,63.8
3.0,71.3,82.1,51.2
4.1,66.5,74.0,51.5
5.8,90.2,67.3,66.0
6.5,85.8,60.1,68.8
3.2,73.0,61.4,54.2
6.7,73.3,94.6,71.4
7.7,93.3,70.0,72.5
5.8,70.1,79.4,64.3
8.8,98.4,60.5,74.7
3.5,73.0,60.6,47.0
2.5,88.4,83.0,62.1
1.4,78.7,53.8,41.7
8.0,88.0,65.0,69.9
6.3,76.6,70.4,60.6
4.9,80.4,71.3,74.0
5.6,82.4,67.9,62.5
2.7,72.0,74.7,47.1
9.9,89.4,78.3,77.9
5.3,76.9,78.8,65.9
5.2,79.7,58.2,66.2
6.5,72.1,66.6,57.9
6.0,56.4,84.3,51.5
5.4,80.1,80.7,69.3
3.4,100.0,53.5,52.3
5.9,89.8,74.2,65.7
8.8,81.8,46.3,62.4
7.7,79.4,70.6,67.1
8.2,82.2,92.8,79.7
4.0,87.5,58.6,54.4
3.0,70.2,60.0,48.4
4.7,93.1,79.2,67.6
5.1,89.2,51.5,59.7
7.2,89.2,62.4,67.7
1.6,86.4,77.2,59.4
8.1,82.2,62.4,71.1
4.7,88.7,67.2,64.4
4.1,87.9,78.9,66.5
3.0,78.5,75.1,49.3
1.7,76.3,73.2,53.0
6.6,83.0,65.9,67.1
5.1,97.5,74.4,72.3
2.4,69.6,68.5,47.2
2.4,67.3,75.5,48.7
4.3,83.6,64.0,55.9
8.3,82.5,67.8,71.8
4.5,83.7,58.1,62.7
2.0,84.4,69.6,53.2
4.5,79.8,60.3,61.4
4.5,96.9,56.6,62.3
1.0,66.0,73.1,46.8
4.9,73.7,72.6,58.3
4.5,81.0,79.4,66.7
6.4,65.6,64.8,59.4
8.7,80.2,74.9,82.8
7.3,98.6,76.6,70.7
4.5,82.2,75.3,64.8
2.8,84.3,60.1,51.6
10.0,69.4,71.8,65.5
5.1,75.8,74.4,61.0
5.0,78.2,70.1,61.1
5.0,78.8,45.0,67.7
5.4,94.8,71.9,66.8
4.7,87.6,96.6,65.3
3.9,70.9,65.7,55.3
3.9,84.5,61.3,47.0
4.9,87.0,74.5,64.1
3.9,93.4,73.7,64.2
3.6,97.8,84.3,72.1
5.2,71.8,54.9,58.9
4.5,73.9,78.8,57.8
8.0,69.4,77.1,65.9
1.0,79.7,68.3,47.0
7.2,86.7,74.1,64.2
7.5,91.9,82.4,76.4
1.0,81.2,80.5,48.6
4.3,78.8,56.3,52.7
4.3,83.5,79.8,58.5
2.2,73.6,69.2,54.5
3.4,100.0,70.9,73.4
2.8,65.9,70.9,44.5
8.5,83.8,68.2,60.9
6.9,100.0,84.3,76.2
7.5,82.1,69.0,67.5
6.4,80.1,56.6,61.5
2.7,78.4,65.3,51.3
4.0,80.2,72.1,58.3
6.0,95.7,84.8,75.2
2.6,59.9,77.2,55.6
6.4,97.3,59.8,57.6
4.5,67.8,99.8,62.6
4.3,79.3,73.2,61.1
6.4,77.7,85.3,63.6
5.9,87.9,68.2,74.0
4.3,66.0,76.4,53.2
7.3,86.6,80.1,71.7
2.8,100.0,84.6,69.9
6.2,68.4,82.7,60.7
6.2,83.9,80.5,59.2
4.4,75.4,66.2,54.7
5.7,86.3,63.1,68.0
2.5,82.2,74.0,55.3
6.8,75.6,81.2,62.9
4.6,86.9,67.3,66.3
4.0,100.0,82.8,67.8
7.1,80.1,87.4,68.7
3.6,89.2,59.0,58.3
2.2,69.1,60.0,51.3
1.9,72.4,68.3,62.3
6.2,86.7,73.7,71.5
2.4,96.8,63.7,64.5
8.5,85.6,86.2,73.7
1.0,78.9,75.1,47.4
8.4,82.0,70.5,70.3
5.4,69.5,52.8,53.7
4.8,88.0,54.2,53.2
3.9,90.8,73.4,62.3
5.8,77.5,44.4,56.4
4.9,77.3,82.2,65.3
7.2,84.7,68.1,69.9
5.2,77.6,100.0,71.1
5.3,81.3,97.7,67.9
4.3,100.0,67.8,63.1
4.9,79.5,68.7,54.2
5.6,78.4,81.9,74.4
1.6,75.5,90.4,57.5
2.3,89.4,50.3,50.8
6.5,80.2,48.6,53.6
5.3,75.5,62.5,72.6
4.6,95.2,77.0,62.1
5.0,96.2,76.0,66.3
5.7,76.0,82.8,67.2
3.9,63.3,55.6,51.2
3.4,92.1,42.2,57.8
5.4,75.2,80.3,72.4
3.0,89.9,60.1,59.2
5.8,62.3,45.8,44.2
1.6,90.9,71.7,55.9
7.1,69.9,79.5,66.9
5.9,89.3,68.5,76.3
5.5,82.1,64.5,54.3
7.0,72.5,68.1,68.6
8.3,77.9,65.6,67.8
7.0,88.9,53.8,68.2
1.3,83.1,61.4,50.1
2.4,87.8,76.3,55.2
3.8,100.0,73.9,70.0
5.1,66.4,72.0,60.4
6.0,98.2,58.1,71.1
3.5,83.0,67.8,57.7
5.4,73.0,43.9,48.7
3.5,68.7,72.1,46.3
3.8,80.1,87.1,67.4
2.2,91.2,52.3,55.0
3.2,80.7,63.0,50.0
2.3,97.1,73.9,59.0
3.0,67.5,85.0,54.0
7.1,81.9,64.6,57.7
3.1,69.5,61.7,46.2
10.0,85.6,46.4,62.2
6.0,90.9,71.2,65.5
5.4,77.8,94.5,64.8
3.3,56.0,73.3,41.4
6.4,84.0,69.7,75.8
3.8,86.4,73.9,67.8
5.2,86.0,69.9,59.7
10.0,94.4,60.2,76.5
4.8,71.3,79.9,62.5
7.3,88.8,72.7,76.4
3.6,93.9,70.2,58.5
4.9,64.2,58.3,57.2
8.5,85.2,85.6,73.2
3.7,77.0,78.0,52.6
8.6,81.2,63.4,71.7
6.4,85.5,82.0,76.3
3.9,77.1,64.0,68.5
6.3,75.2,60.6,53.6
6.9,82.3,60.9,67.1
6.2,71.1,48.7,52.3
1.9,71.1,75.7,56.1
3.5,88.8,48.0,46.5
4.5,70.5,55.3,45.8
4.9,88.7,45.1,52.5
6.2,86.6,69.0,66.3
5.4,64.7,68.2,52.9
2.3,75.2,66.1,55.0
5.8,93.9,57.5,69.2
6.2,72.2,55.9,59.9
6.1,77.4,75.6,72.5
7.2,86.6,63.4,68.7
6.7,89.8,73.8,63.6
5.9,79.5,59.4,66.6
4.9,76.0,72.2,57.0
1.7,96.2,85.6,68.0
5.9,99.4,77.0,79.9
5.4,91.8,65.1,66.9
5.5,82.9,73.1,56.7
2.4,73.9,67.1,47.2
2.8,73.7,70.1,60.2
7.1,87.2,66.1,66.5
4.9,86.2,68.0,62.7
6.4,96.0,72.5,74.5
5.1,88.5,58.1,64.1
5.1,67.0,57.8,54.4
6.9,92.5,53.3,63.9
4.0,72.0,50.8,48.5
5.2,78.2,55.4,60.8
4.1,84.5,71.9,63.8
4.1,100.0,59.3,61.3
4.4,100.0,76.2,73.8
5.4,88.1,70.4,64.3
4.0,80.2,46.4,47.3
7.5,87.3,77.9,68.1
3.2,90.9,79.7,58.5
4.6,78.8,58.1,54.7
4.1,100.0,75.0,73.5
7.9,84.3,59.7,62.3
5.4,87.0,71.2,65.7
7.1,88.7,54.8,61.2
2.0,86.2,48.5,48.2
5.5,90.4,65.4,56.9
6.8,75.8,68.5,62.3
5.2,76.4,65.2,57.8
7.1,71.0,55.8,61.3
4.0,86.4,65.2,60.5
7.8,89.8,73.2,66.1
9.6,86.6,69.5,79.6
4.3,98.7,72.2,67.6
4.1,81.9,62.0,58.1
7.9,88.7,84.1,75.2
8.2,71.1,55.9,58.7
4.0,78.1,75.9,60.8
4.2,89.0,84.2,68.9
4.4,90.5,75.8,56.2
2.3,79.1,67.6,50.8
3.2,81.3,63.7,54.0
3.0,66.8,82.4,56.6
3.5,78.4,52.9,57.7
4.9,90.9,58.4,57.2
5.5,87.8,65.2,61.0
8.1,87.0,84.9,72.8
3.0,82.5,74.6,54.4
7.0,82.1,58.4,61.3
4.6,75.4,66.3,61.2
4.9,89.0,62.6,56.4
6.3,86.2,61.5,65.9
2.8,86.9,81.7,53.1
5.8,76.7,53.5,54.0
5.3,60.5,89.3,59.0
6.0,93.0,79.9,79.3
5.6,77.2,83.1,64.0
9.9,73.4,64.4,57.8
3.7,88.9,68.2,50.5
3.9,78.1,52.8,52.7
3.8,92.6,63.7,63.7
3.9,88.2,75.9,64.9
3.7,88.8,85.6,66.5
7.4,68.3,56.7,64.5
7.8,94.1,65.6,68.6
3.9,84.6,68.2,63.9
3.3,78.3,53.3,43.2
5.9,83.4,77.1,62.0
3.9,64.2,61.3,41.2
6.3,86.1,67.7,64.2
5.4,71.7,64.6,57.2
2.0,68.5,60.5,47.5
8.1,66.8,69.9,64.1
8.6,93.1,67.4,68.8
3.8,75.7,65.5,54.3
4.2,97.3,61.3,55.0
5.6,76.6,73.8,69.2
5.7,64.9,89.8,61.8
6.3,70.8,71.7,59.0
9.0,94.4,82.0,87.2
4.6,80.4,53.3,49.0
3.4,76.5,71.9,50.9
